Číslo;Druh/počet záznamů;Nálezů;Zastoupení (%);
368;Iris pseudacorus - kosatec žlutý;17511;,06;
369;Lonicera xylosteum - zimolez obecný;17300;,06;
370;Natrix natrix - užovka obojková;17243;,06;
371;Hypochaeris radicata - prasetník kořenatý;16974;,06;
372;Saxicola rubetra - bramborníček hnědý;16956;,06;
373;Sylvia curruca - pěnice pokřovní;16947;,06;
374;Milvus milvus - luňák červený;16878;,06;
375;Poecile palustris - sýkora babka;16815;,06;
376;Pteridium aquilinum - hasivka orličí;16795;,06;
377;Anthus trivialis - linduška lesní;16770;,06;
378;Lanius excubitor - ťuhýk šedý;16765;,06;
379;Sanguisorba minor - krvavec menší;16755;,06;
380;Gallinago gallinago - bekasina otavní;16732;,06;
381;Oriolus oriolus - žluva hajní;16574;,06;
382;Salvia pratensis - šalvěj luční;16563;,06;
383;Campanula trachelium - zvonek kopřivolistý;16529;,06;
384;Genista tinctoria - kručinka barvířská;16505;,06;
385;Aphantopus hyperantus - okáč prosíčkový;16494;,06;
386;Coloeus monedula - kavka obecná;16481;,06;
387;Epilobium montanum - vrbovka horská;16280;,06;
388;Capreolus capreolus - srnec obecný;16275;,06;
389;Acrocephalus arundinaceus - rákosník velký;16105;,06;
390;Lychnis viscaria - smolnička obecná;16097;,06;
391;Juncus filiformis - sítina niťovitá;16031;,06;
392;Melanargia galathea - okáč bojínkový;16031;,06;
393;Quercus rubra - dub červený;15997;,06;
394;Aglais urticae - babočka kopřivová;15968;,06;
395;Carex canescens - ostřice šedavá;15809;,06;
396;Columba livia f. domestica - holub domácí;15747;,05;
397;Vincetoxicum hirundinaria - tolita lékařská;15621;,05;
398;Potentilla palustris - zábělník bahenní;15556;,05;
399;Geum rivale - kuklík potoční;15545;,05;
400;Vanessa atalanta - babočka admirál;15539;,05;
401;Galium saxatile - svízel hercynský;15495;,05;
402;Vanessa cardui - babočka bodláková;15442;,05;
403;Pieris brassicae - bělásek zelný;15395;,05;
404;Bombina bombina - kuňka obecná;15376;,05;
405;Sylvia borin - pěnice slavíková;15346;,05;
406;Convolvulus arvensis - svlačec rolní;15235;,05;
407;Cerastium arvense - rožec rolní;15224;,05;
408;Stellaria media - ptačinec prostřední;15186;,05;
409;Pyrethrum corymbosum - řimbaba chocholičnatá;15165;,05;
410;Humulus lupulus - chmel otáčivý;15107;,05;
411;Jynx torquilla - krutihlav obecný;15081;,05;
412;Homogyne alpina - podbělice alpská;15063;,05;
413;Campanula rapunculoides - zvonek řepkovitý;15032;,05;
414;Cirsium rivulare - pcháč potoční;14986;,05;
415;Anguis fragilis - slepýš křehký;14973;,05;
416;Juncus conglomeratus - sítina klubkatá;14967;,05;
417;Potentilla argentea - mochna stříbrná;14936;,05;
418;Euphorbia amygdaloides - pryšec mandloňovitý;14933;,05;
419;Hieracium sabaudum - jestřábník savojský;14916;,05;
420;Poa annua - lipnice roční;14900;,05;
421;Bromus erectus - sveřep vzpřímený;14888;,05;
422;Araschnia levana - babočka síťkovaná;14820;,05;
423;Silene nutans - silenka nicí;14781;,05;
424;Tephroseris crispa - starček potoční;14771;,05;
425;Muscicapa striata - lejsek šedý;14752;,05;
426;Larus cachinnans - racek bělohlavý;14721;,05;
427;Succisa pratensis - čertkus luční;14682;,05;
428;Tripleurospermum inodorum - heřmánkovec nevonný;14667;,05;
429;Stellaria alsine - ptačinec mokřadní;14625;,05;
430;Streptopelia turtur - hrdlička divoká;14614;,05;
431;Silene dioica - silenka dvoudomá;14577;,05;
432;Carex ovalis - ostřice zaječí;14568;,05;
433;Leucanthemum ircutianum - kopretina irkutská;14546;,05;
434;Actitis hypoleucos - pisík obecný;14525;,05;
